code,name,description,image,category,price,quantity,internalReference,shellId,inventoryStatus,rating,createdAt,updatedAt
P001,Smartphone,High-end smartphone,img1.jpg,Electronics,699.99,50,INTREF001,1001,INSTOCK,4,2025-01-01T10:00:00Z,2025-01-10T12:00:00Z
P002,Laptop,Gaming laptop,img2.jpg,Electronics,1299.99,30,INTREF002,1002,LOWSTOCK,5,2025-01-02T11:00:00Z,2025-01-11T12:30:00Z
P003,Desk Chair,Comfortable chair,img3.jpg,Furniture,149.99,100,INTREF003,1003,OUTOFSTOCK,3,2025-01-05T08:00:00Z,2025-01-12T14:00:00Z
P004,Wireless Mouse,Ergonomic mouse,img4.jpg,Accessories,29.99,200,INTREF004,1004,INSTOCK,4,2025-01-03T09:00:00Z,2025-01-13T15:00:00Z
P005,Keyboard,Mechanical keyboard,img5.jpg,Accessories,89.99,150,INTREF005,1005,INSTOCK,4,2025-01-04T07:00:00Z,2025-01-14T16:00:00Z
P006,Monitor,27-inch 4K monitor,img6.jpg,Electronics,399.99,40,INTREF006,1006,LOWSTOCK,5,2025-01-05T12:00:00Z,2025-01-15T17:00:00Z
P007,USB Cable,1m USB-C cable,img7.jpg,Accessories,9.99,300,INTREF007,1007,INSTOCK,4,2025-01-06T13:00:00Z,2025-01-16T18:00:00Z
P008,External HDD,1TB external hard drive,img8.jpg,Electronics,59.99,80,INTREF008,1008,INSTOCK,4,2025-01-07T14:00:00Z,2025-01-17T19:00:00Z
P009,Office Desk,Wooden office desk,img9.jpg,Furniture,249.99,20,INTREF009,1009,OUTOFSTOCK,3,2025-01-08T15:00:00Z,2025-01-18T20:00:00Z
P010,Webcam,HD webcam,img10.jpg,Electronics,79.99,60,INTREF010,1010,INSTOCK,4,2025-01-09T16:00:00Z,2025-01-19T21:00:00Z
P011,Smartwatch,Fitness tracker,img11.jpg,Electronics,199.99,90,INTREF011,1011,LOWSTOCK,5,2025-01-10T17:00:00Z,2025-01-20T22:00:00Z
P012,Tablet,10-inch tablet,img12.jpg,Electronics,349.99,70,INTREF012,1012,INSTOCK,4,2025-01-11T18:00:00Z,2025-01-21T23:00:00Z
P013,Desk Lamp,LED desk lamp,img13.jpg,Furniture,49.99,110,INTREF013,1013,INSTOCK,4,2025-01-12T19:00:00Z,2025-01-22T10:00:00Z
P014,Backpack,Travel backpack,img14.jpg,Accessories,69.99,130,INTREF014,1014,INSTOCK,4,2025-01-13T20:00:00Z,2025-01-23T11:00:00Z
P015,Speakers,Wireless speakers,img15.jpg,Electronics,149.99,55,INTREF015,1015,LOWSTOCK,5,2025-01-14T21:00:00Z,2025-01-24T12:00:00Z
P016,Mouse Pad,Large mouse pad,img16.jpg,Accessories,19.99,210,INTREF016,1016,INSTOCK,4,2025-01-15T22:00:00Z,2025-01-25T13:00:00Z
P017,Graphic Tablet,Drawing tablet,img17.jpg,Electronics,299.99,25,INTREF017,1017,OUTOFSTOCK,3,2025-01-16T23:00:00Z,2025-01-26T14:00:00Z
P018,Router,Wi-Fi 6 router,img18.jpg,Electronics,129.99,45,INTREF018,1018,INSTOCK,4,2025-01-17T10:00:00Z,2025-01-27T15:00:00Z
P019,Printer,Color laser printer,img19.jpg,Electronics,499.99,15,INTREF019,1019,LOWSTOCK,5,2025-01-18T11:00:00Z,2025-01-28T16:00:00Z
P020,Coffee Maker,Automatic coffee maker,img20.jpg,Appliances,89.99,85,INTREF020,1020,INSTOCK,4,2025-01-19T12:00:00Z,2025-01-29T17:00:00Z
